ZONA,ZONA -DIM,DIRECCION,CIUDAD,TELEFONO,LOCATION
7,ZONA 07,K 1 via puerto López Séptima Brigada,Villavicencio,6603541  6674990,4.119721, -73.6146363
1,DIM 49,Cra 9 #5 Impar Barrio Jorge E. Gaitan,Barbosa,7484161,5.929042, -73.619737
11,DIM 11,"Barrio las Delicias Cra 9 No 33A-241",Sincelejo,2882244,9.2834251, -75.3988733
6,DIM 41,Cra 2 No 21A  - 02 Barrio Salsipuedes,Girardot,833733,4.3014463, -74.796098
2,DIM 44,"Carrera 68 con Calle 78 Barrio Paraiso",Barranquilla,3555090,11.013203, -74.803878
13,ZONA 13,Av. Americas No 58 - 38,Bogota,4461808,4.6285152, -74.1154636
3,ZONA 03,Carrera 80 #4 - 26 Tercera Brigada,Cali,3240625,3.385862, -76.545029
11,DIM 13,"Avenida Sierra Chiquita Br Santander Instalaciones Brigada 11",Monteria,7837477,8.7411323, -75.902013
4,DIM 25,"Km. 3 salida al mar Decimaseptima Brigada",Carepa,6050013,7.776082, -76.65632
2,DIM 14,Tv. 52 #21-81 Barrio el Bosque,Cartagena,6695022,10.39261, -75.526025
2,DIM 10,"Carrera 68 con Calle 78 Barrio Paraiso",Barranquilla,3555090,11.013203, -74.803878
3,DIM 21,Carrera 6 con Calle 19,Ipiales,7732530,0.828759, -77.643059
9,DIM 42,CR. 16 No 21-300 Barrio La Libertad,Neiva,8755590,2.9388684, -75.2819194
15,DIM 03,Calle 26 Sur con Carrera 78K Kennedy,Bogota,2732701,4.6274302, -74.14992
2,ZONA 02,"Carrera 68 con Calle 78 Barrio Paraiso",Barranquilla,3559084,11.013203, -74.803878
11,ZONA 11,"Br Santander Instalaciones Brigada 11",Monteria,7837677 - 7838081,8.7411323, -75.902013
6,DIM 38,Cra 8 Calle 12  Sexta brigada,Ibague,2722083 2624470,4.4482632, -75.2381406
4,ZONA 04,"Carrera 77C #51 -158 Barrio Los colores",Medellin,6050013,6.2638586, -75.5930443
15,ZONA 15,Cra 11 B No 104 A - 64,Bogota,2159379,4.6879743, -74.0423205
7,DIM 54,Kilometro 1 via Fuente de oro Batallon Vargas,Granada,6500268,3.5329504, -73.701326
8,DIM 39,Av. Bolivar No 25 -00,Armenia,7496201   7485593,5.0471758, -75.4838312
5,DIM 36,Avenida Santander Batallon Garcia Rovira,Pamplona,5682642,7.3665793, -72.6536608
7,DIM 05,K 1 via puerto López Séptima Brigada,Villavicencio,6674317,4.119721, -73.6146363
2,DIM 12,"Carrera 4 con Calle 34 kilómetro 1 vía al Rodadero",Santa Marta,4211397,11.228929, -74.21512
15,DIM 01,Cra 11 B No 104 A - 64,Bogota,2159561,4.6879743, -74.0423205
11,DIM 61, instalaciones Batallon de infanteria No 31 Rifles,Caucasia,8308994,7.918015, -75.208034
5,DIM 35,"Avenida el Portico con Calle 20 A via a los cuarteles",Cucuta,5831359,7.862181, -72.507267
1,DIM 07,Cl 25 Cr 1 Barrio el Dorado,Tunja,7400242,5.533674, -73.352161
1,DIM 08,Batallon Tarqui,Sogamoso,7702390,5.676363, -72.9586709
3,DIM 23,Carrera 15 con Calle 21,Pasto,7208084,1.20668, -77.272705
7,DIM 09,Cl 6 cra 18 grupo guias,Yopal,6321838,5.3501285, -72.4028582
6,DIM 57,Instalaciones Batallon Caicedo,Chaparral,2467754,3.7235639, -75.4901295
5,DIM 34,"Diagonal 56 Carrera 11",Barrancabermeja,6223347,7.065205, -73.8650353
4,DIM 29,"Batallon de Infanteria Manosalva Florez",Quibdo,6050013,5.683585, -76.631523
5,DIM 33,"Carretera Central via Bogota Barrio la Feria",Socorro,7272563,6.464593, -73.264745
8,DIM 22,Av sur calle 52 parte posterior Batallon San Mateo,Pereira,3124404 3124366,4.8080547, -75.729868
9,DIM 43,Calle 16 Carrera 14 Esquina Barrio centro,Florencia,4354205,1.6158119, -75.615773
5,DIM 53,Decimaoctava Brigada,Arauca,8857088,7.0698346, -70.7515111
1,ZONA  01,Cl 25 Cra 1 barrio El Dorado,Tunja,7424238,5.533674, -73.352161
5,DIM 32,Carrera 33a Calle 18 barrio San Alonso,Bucaramanga,6359992,7.133053, -73.112548
6,DIM 40,Instalaciones Batallón Patriotas,Honda,2515215,5.193915, -74.7503311
5,ZONA 05,Carrera 33a Calle 18 barrio San Alonso,Bucaramanga,6359992,7.133053, -73.112548
8,DIM 30,"KM 2 via al Aeropuerto Barrio Santa Ana",Cartago,2141090,4.758192, -75.9475183
5,DIM 37,Kilometro 2 via a Cucuta,Ocaña,5696427,8.219139, -73.3263692
8,DIM 31,Av. Santander Via la ENEA,Manizales,8873918,5.0471758, -75.4838312
3,DIM 19,"Av. la Habana Gualadajara de Buga con Carrera 3 Este",Buga,2280220,3.892563, -76.290841
9,DIM 62,Diagonal a Brigada de Selva 27,Mocoa,4200141,1.1399289, -76.6490831
3,DIM 20,Av Los Cuarteles Cantón Militar General Jose Hilario Lopez,Popayan,8201378,2.457988, -76.605861
13,DIM 47,"Cra 5 con calle 15 barrio Dos Caminos",Facatativa,8833991,4.8201302, -74.3481993
13,DIM 55,Cra. 8 # 6-41 CC Centro Fusa Local 117,Fusagasuga,8671960,4.3437953, -74.363203
3,DIM 16,Carrera 80 #4 - 26 Tercera Brigada,Cali,3240658,3.385862, -76.545029
4,DIM 24,"Carrera 77C #51 -158 Barrio Los colores",Medellin,6050013,6.2638586, -75.5930443
15,DIM 04,Cra 11 B No 104 A - 64,Bogota,6208584,4.6879743, -74.0423205
4,DIM 48,"Carrera 77C #51 -158 Barrio Los colores",Medellin,6050013,6.2638586, -75.5930443
15,DIM 02,Calle 18 sur con Carrera 6,Bogota,3729864,4.5748575, -74.0900607
1,DIM 06,"Calle 7 # 6-05 Barrio Ricaurte",Chiquinquira,7262126,5.609975, -73.82076
4,DIM 26,Cl 66 D No 39 A  - 66 Batallon Giradot,Medellin,6050013,6.25993, -75.551282
2,DIM 15,Calle 16 #31-134 Avenida Pan de azucar Barrio la Popa,Valledupar,5832878,10.462505, -73.275777
3,DIM 58,Carrera 8 #3-110 Barrio las Mercedes,Buenaventura,2424321,3.890751, -77.076453
13,DIM 46,Calle 3 #6-90,Cajica,8424491,4.9182036, -74.0269965
13,DIM 51,Av. Americas No 58 - 38,Bogota,4461808,4.6285152, -74.1154636
6,ZONA 06,Barrio Ancon Antiguas Instalaciones de la Sexta brigada,Ibague,2722083 2624470,4.4482632, -75.2381406
3,DIM 17,Carrera 80 #4 - 26 Tercera Brigada,Cali,3240658,3.385862, -76.545029
4,DIM 28,Calle 50 con Carrera 4 Esquina. Barrio Centro,Puerto berrrio,8335299,6.488814, -74.401532
9,ZONA 09,cr 16 No 21-300 Barrio La Libertad,Neiva,8753133  8750355,2.9388684, -75.2819194
9,DIM 56,KM 5 via San Agustin No 2 -50,Pitalito,8360340,1.8457795, -76.0903911
4,DIM 27,Calle 45 #18-85 Batallon de Artilleria No 04,Medellin,6050013,6.2339216, -75.5469341
3,DIM 18,"Via pradera Batalon Codazzi",Palmira,2703537,3.385853, -76.54499
13,DIM 52,Escuela Artilleria,Bogota,7390632,4.5494637, -74.1223714
8,ZONA 08,Av. Bolivar No 25 Norte -00,Armenia,7495818  7485593,5.0471758, -75.4838312
2,DIM 45,Batallon de Infateria Mecanizado N°6 Cartagena,Riohacha,0,11.511275, -72.865347
13,DIM 59,Calle 19 con Carrera 6,Soacha,7810524,4.5823678, -74.2140955
